fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:18.801055,Processo fora da whitelist detectado: iedsearch
1,1,1,2025-11-17 19:28:18.802123,Processo fora da whitelist detectado: mysqlworkbench
1,1,1,2025-11-17 19:28:18.803179,Processo fora da whitelist detectado: steamwebhelper
1,1,1,2025-11-17 19:28:18.804230,Processo fora da whitelist detectado: memcompression
1,1,1,2025-11-17 19:28:18.805305,Processo fora da whitelist detectado: dllhost
1,1,1,2025-11-17 19:28:18.806384,Processo fora da whitelist detectado: avastsvc
1,1,1,2025-11-17 19:28:18.807450,Processo fora da whitelist detectado: searchindexer
1,1,1,2025-11-17 19:28:18.808510,Processo fora da whitelist detectado: aswtoolssvc
1,1,1,2025-11-17 19:28:18.809561,Processo fora da whitelist detectado: armourycrate.service
1,1,1,2025-11-17 19:28:18.810649,Processo fora da whitelist detectado: armsvc
1,1,1,2025-11-17 19:28:18.811716,Processo fora da whitelist detectado: msmpeng
1,1,1,2025-11-17 19:28:18.812765,Processo fora da whitelist detectado: dsaservice
1,1,1,2025-11-17 19:28:18.813811,Processo fora da whitelist detectado: microsoft.notes
1,1,1,2025-11-17 19:28:18.814869,Processo fora da whitelist detectado: searchapp
1,1,1,2025-11-17 19:28:18.815931,Processo fora da whitelist detectado: steam
1,1,1,2025-11-17 19:28:18.816998,Processo fora da whitelist detectado: mousocoreworker
1,1,1,2025-11-17 19:28:18.818060,Processo fora da whitelist detectado: taskhostw
1,1,1,2025-11-17 19:28:18.819115,Processo fora da whitelist detectado: aswidsagent
1,1,1,2025-11-17 19:28:18.820165,Processo fora da whitelist detectado: whatsapp
1,1,1,2025-11-17 19:28:18.821227,Processo fora da whitelist detectado: jetbrains-toolbox
1,1,1,2025-11-17 19:28:18.822279,Processo fora da whitelist detectado: esrv
1,1,1,2025-11-17 19:28:18.823335,Processo fora da whitelist detectado: armourycrate.usersessionhelper
1,1,1,2025-11-17 19:28:18.824391,Processo fora da whitelist detectado: gamingservices
1,1,1,2025-11-17 19:28:18.825461,Processo fora da whitelist detectado: avastui
1,1,1,2025-11-17 19:28:18.826525,Processo fora da whitelist detectado: adobecollabsync
1,1,1,2025-11-17 19:28:18.827585,Processo fora da whitelist detectado: atieclxx
1,1,1,2025-11-17 19:28:18.828642,Processo fora da whitelist detectado: codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7
1,1,1,2025-11-17 19:28:18.829691,Processo fora da whitelist detectado: codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.tmp
1,1,1,2025-11-17 19:28:30.087020,Processo fora da whitelist morto: system idle process
1,1,1,2025-11-17 19:28:30.091221,Processo fora da whitelist morto: wininit
